Name,Handedness,Height,Weight,BMI,Batting Average,Homerun Count
Al Jones,Righty,76,210,33.1578947368,0,0
Al Lachowicz,Righty,75,198,31.68,0,0
Alan Wirth,Righty,76,190,30,0,0
Albert Williams,Righty,76,190,30,0,0
Alex Sanchez,Righty,74,185,30,0,0
Alfredo Martinez,Righty,75,185,29.6,0,0
Allan Ramirez,Righty,70,180,30.8571428571,0,0
Andy Beene,Righty,75,205,32.8,0,0
Andy Replogle,Righty,77,205,31.9480519481,0,0
Angel Moreno,Lefty,69,165,28.6956521739,0,0
Barry Cort,Righty,77,210,32.7272727273,0,0
Barry Raziano,Switch-hitter,70,175,30,0,0
Ben Callahan,Righty,79,230,34.9367088608,0,0
Bert Bradley,Switch-hitter,73,190,31.2328767123,0,0
Bill Castro,Righty,71,170,28.7323943662,0,0
Bill Fulton,Righty,75,195,31.2,0,0
Bill Mooneyham,Righty,72,175,29.1666666667,0,0
Bill Moran,Righty,76,210,33.1578947368,0,0
Bill Paschall,Righty,72,175,29.1666666667,0,0
Bill Wilkinson,Righty,70,160,27.4285714286,0,0
Bob Babcock,Righty,77,210,32.7272727273,0,0
Bob Davidson,Righty,72,185,30.8333333333,0,0
Bob Fallon,Lefty,75,200,32,0,0
Bob Ferris,Righty,78,225,34.6153846154,0,0
Bob Galasso,Lefty,73,205,33.698630137,0,0
Bob Kammeyer,Righty,76,210,33.1578947368,0,0
Bob Veselic,Righty,72,175,29.1666666667,0,0
Bobby Cuellar,Righty,71,188,31.7746478873,0,0
Brian Allard,Righty,73,175,28.7671232877,0,0
Brian Denman,Righty,76,205,32.3684210526,0,0
Brian Dubois,Lefty,70,165,28.2857142857,0,0
Brian Snyder,Lefty,75,185,29.6,0,0
Britt Burns,Lefty,77,215,33.5064935065,0,0
Bruce Ellingsen,Lefty,72,180,30,0,0
Bruce Robbins,Lefty,73,190,31.2328767123,0,0
Bruce Tanner,Lefty,75,220,35.2,0,0
Bruce Taylor,Righty,72,178,29.6666666667,0,0
Bryan Clutterbuck,Righty,76,223,35.2105263158,0,0
Bryan Kelly,Righty,74,195,31.6216216216,0,0
Bryan Oelkers,Lefty,75,192,30.72,0,0
Bud Anderson,Righty,75,210,33.6,0,0
Butch Edge,Righty,75,203,32.48,0,0
Byron McLaughlin,Righty,73,175,28.7671232877,0,0
Cardell Camper,Righty,75,208,33.28,0,0
Carlos Velazquez,Righty,71,180,30.4225352113,0,0
Charlie Mitchell,Righty,75,170,27.2,0,0
Chico Escarrega,Righty,71,185,31.2676056338,0,0
Chris Batton,Righty,76,195,30.7894736842,0,0
Chris Knapp,Righty,77,195,30.3896103896,0,0
Chuck Hockenbery,Switch-hitter,73,195,32.0547945205,0,0
Chuck Porter,Righty,75,187,29.92,0,0
Clay Christiansen,Righty,77,205,31.9480519481,0,0
Clint Zavaras,Righty,73,175,28.7671232877,0,0
Colby Ward,Righty,74,185,30,0,0
Craig Chamberlain,Righty,73,190,31.2328767123,0,0
Craig Eaton,Righty,71,175,29.5774647887,0,0
Craig Mitchell,Righty,75,180,28.8,0,0
Curt Kaufman,Righty,74,175,28.3783783784,0,0
Curt Wardle,Lefty,77,220,34.2857142857,0,0
Dan Morogiello,Lefty,73,200,32.8767123288,0,0
Danny Fife,Righty,75,175,28,0,0
Daryl Smith,Righty,76,185,29.2105263158,0,0
Dave Ford,Righty,76,190,30,0,0
Dave Frost,Righty,78,235,36.1538461538,0,0
Dave Johnson,Righty,73,183,30.0821917808,0,0
Dave Lemanczyk,Righty,76,235,37.1052631579,0,0
Dave Rajsich,Lefty,77,175,27.2727272727,0,0
Dave Smith,Righty,73,190,31.2328767123,0,0
Dave Stapleton (L),Lefty,73,185,30.4109589041,0,0
De Wayne Buice,Righty,72,170,28.3333333333,0,0
De Wayne Vaughn,Righty,71,180,30.4225352113,0,0
Dennis Burtt,Righty,72,180,30,0,0
Dennis DeBarr,Lefty,74,190,30.8108108108,0,0
Dewey Robinson,Righty,72,180,30,0,0
Don Cooper,Righty,73,185,30.4109589041,0,0
Don Gordon,Righty,73,175,28.7671232877,0,0
Don Kainer,Righty,75,205,32.8,0,0
Don Welchel,Righty,76,205,32.3684210526,0,0
Ed Hodge,Lefty,74,192,31.1351351351,0,0
Eric Hetzel,Righty,75,175,28,0,0
Eric Wilkins,Righty,73,190,31.2328767123,0,0
Fernando Arroyo,Righty,74,180,29.1891891892,0,0
Francisco Barrios,Righty,71,155,26.1971830986,0,0
Frank Dimichele,Righty,75,205,32.8,0,0
Frank Eufemia,Righty,71,185,31.2676056338,0,0
Fred Howard,Righty,75,190,30.4,0,0
Gary Beare,Righty,76,205,32.3684210526,0,0
Gary Christenson,Lefty,77,200,31.1688311688,0,0
Gary Ignasiak,Righty,71,185,31.2676056338,0,0
Gary Lance,Switch-hitter,75,195,31.2,0,0
Gary Mielke,Righty,75,185,29.6,0,0
Gary Wheelock,Righty,75,205,32.8,0,0
Gil Patterson,Righty,73,185,30.4109589041,0,0
Glen Cook,Righty,71,180,30.4225352113,0,0
Gorman Heimueller,Lefty,76,195,30.7894736842,0,0
Greg Erardi,Righty,73,190,31.2328767123,0,0
Greg Thayer,Righty,71,182,30.7605633803,0,0
Howard Bailey,Righty,72,195,32.5,0,0
Ike Brookens,Righty,77,170,26.4935064935,0,0
Israel Sanchez,Lefty,69,170,29.5652173913,0,0
Jack Hardy,Righty,74,175,28.3783783784,0,0
Jack Lazorko,Righty,71,200,33.8028169014,0,0
Jaime Cocanower,Righty,76,200,31.5789473684,0,0
Jay Pettibone,Righty,76,182,28.7368421053,0,0
Jeff Barkley,Switch-hitter,75,185,29.6,0,0
Jeff Bettendorf,Righty,75,180,28.8,0,0
Jeff Byrd,Righty,75,195,31.2,0,0
Jeff Holly,Lefty,77,210,32.7272727273,0,0
Jeff Jones,Righty,75,210,33.6,0,0
Jeff Peterek,Righty,74,195,31.6216216216,0,0
Jeff Richardson,Righty,75,185,29.6,0,0
Jeff Rineer,Lefty,76,205,32.3684210526,0,0
Jeff Schattinger,Lefty,77,200,31.1688311688,0,0
Jeff Schneider,Switch-hitter,75,195,31.2,0,0
Jeff Sellers,Righty,73,175,28.7671232877,0,0
Jeff Shaver,Righty,75,195,31.2,0,0
Jeff Twitty,Lefty,74,185,30,0,0
Jerry Augustine,Lefty,72,183,30.5,0,0
Jerry Garvin,Lefty,75,195,31.2,0,0
Jerry Kutzler,Lefty,73,175,28.7671232877,0,0
Jerry Ujdur,Righty,73,195,32.0547945205,0,0
Jim Burton,Righty,75,195,31.2,0,0
Jim Campbell,Lefty,71,175,29.5774647887,0,0
Jim Dorsey,Righty,79,190,28.8607594937,0,0
Jim Farr,Righty,73,195,32.0547945205,0,0
Jim Gideon,Righty,75,190,30.4,0,0
Jim Lewis,Righty,75,190,30.4,0,0
Jim Siwy,Righty,76,200,31.5789473684,0,0
Jim Umbarger,Lefty,78,200,30.7692307692,0,0
Joe Pactwa,Lefty,71,185,31.2676056338,0,0
Joe Skalski,Righty,75,190,30.4,0,0
Joel Davis,Lefty,77,205,31.9480519481,0,0
Joel McKeon,Lefty,72,185,30.8333333333,0,0
John Bohnet,Switch-hitter,72,175,29.1666666667,0,0
John Butcher,Righty,76,185,29.2105263158,0,0
John Caneira,Righty,75,180,28.8,0,0
John Flinn,Righty,72,175,29.1666666667,0,0
John Hobbs,Righty,75,190,30.4,0,0
John Hoover,Righty,74,190,30.8108108108,0,0
John LaRose,Lefty,73,185,30.4109589041,0,0
John Leister,Righty,74,200,32.4324324324,0,0
John Pawlowski,Righty,74,175,28.3783783784,0,0
John Poloni,Lefty,77,210,32.7272727273,0,0
John Trautwein,Righty,75,205,32.8,0,0
Jose Cecena,Righty,71,180,30.4225352113,0,0
Jose Roman,Righty,72,175,29.1666666667,0,0
Juan Nieves,Lefty,75,175,28,0,0
Karl Best,Righty,76,190,30,0,0
Keith Creel,Righty,74,180,29.1891891892,0,0
Keith Macwhorter,Righty,76,190,30,0,0
Kevin Bearse,Lefty,74,195,31.6216216216,0,0
Kevin Mmahat,Lefty,77,220,34.2857142857,0,0
